dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,attack_cat,label
9e-06,ddp,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,1,1,0,0,0,Backdoor,1
9e-06,ipv6-frag,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Backdoor,1
9e-06,cftp,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,1,1,0,0,0,Backdoor,1
3e-06,wsn,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,pvp,-,INT,2,0,200,0,125000.0,1e+08,0.0,1,1,0,0,0,Backdoor,1
5e-06,wb-expak,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,mtp,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
5e-06,pri-enc,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,1,1,0,0,0,Backdoor,1
8e-06,sat-mon,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
2e-06,cphb,-,INT,2,0,200,0,500000.0,4e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,sun-nd,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
3e-06,iso-ip,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
9e-06,xtp,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,1,1,0,0,0,Backdoor,1
9e-06,il,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,1,1,0,0,0,Backdoor,1
4e-06,unas,-,INT,2,0,200,0,250000.0,2e+08,0.0,2,2,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Backdoor,1
5e-06,unas,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,3,3,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Backdoor,1
3e-06,mfe-nsp,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,1,1,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Backdoor,1
9e-06,3pc,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,1,1,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,4,4,0,0,0,Analysis,1
9e-06,ipv6-route,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Backdoor,1
3e-06,idrp,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,1,1,0,0,0,Backdoor,1
3e-06,bna,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,1,1,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Analysis,1
7e-06,swipe,-,INT,2,0,200,0,142857.14,1.1428571e+08,0.0,3,3,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,6,6,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,6,6,0,0,0,Analysis,1
9e-06,kryptolan,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,3,3,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,5,5,0,0,0,Analysis,1
8e-06,cpnx,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,4,4,0,0,0,Analysis,1
7e-06,unas,-,INT,2,0,200,0,142857.14,1.1428571e+08,0.0,4,4,0,0,0,Analysis,1
9e-06,rsvp,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,1,1,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,wb-mon,-,INT,2,0,200,0,125000.0,1e+08,0.0,1,1,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,3,3,0,0,0,Analysis,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,3,3,0,0,0,Analysis,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Backdoor,1
8e-06,vmtp,-,INT,2,0,200,0,125000.0,1e+08,0.0,1,1,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Backdoor,1
9e-06,ib,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Backdoor,1
3e-06,dgp,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,1,1,0,0,0,Backdoor,1
3e-06,eigrp,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
6e-06,unas,-,INT,2,0,200,0,166666.66,1.3333333e+08,0.0,1,1,0,0,0,Backdoor,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Analysis,1
9e-06,ax.25,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,1,1,0,0,0,Analysis,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Backdoor,1
